drug_id,ingredient_name
D001,Saccharin Sodium
D002,Laktoz monohidrat
D002,Magnezyum stearat
D003,Nişasta
D003,Povidon
D003,Magnezyum stearat
D004,Nişasta
D004,Mikrokristalin selüloz
D005,Laktoz
D005,Kalsiyum hidrojen fosfat dihidrat
D006,Mısır nişastası
D006,Selüloz tozu
D007,Povidon
D007,Magnezyum stearat
D008,Sukroz
D008,Gliserol monostearat
D009,Sukroz
D009,Mannitol
D010,Laktoz monohidrat
D010,Mikrokristalin selüloz
D011,Laktoz
D011,Magnezyum stearat
D012,Mikrokristalin selüloz
D012,Silisleşmiş mikrokristalin selüloz
D013,Sukroz
D013,Sodyum nişasta glikolat
D014,Kroskarmelloz sodyum
D014,Magnezyum stearat
D015,Kroskarmelloz sodyum
D015,Mikrokristalin selüloz
D016,Laktoz monohidrat
D016,Titanyum dioksit
D017,Laktoz monohidrat
D017,Kalsiyum hidrojen fosfat dihidrat
D018,Aspartam
D018,Mannitol
D019,Mısır nişastası
D019,Povidon
D020,Laktoz monohidrat
D021,Etilselüloz
D021,Mikrokristalin selüloz
D022,Laktoz
D022,Jelatin
D023,Laktoz monohidrat
D023,Kroskarmelloz sodyum
D024,Laktoz monohidrat
D024,Nişasta
D025,Laktoz monohidrat
D025,Sodyum nişasta glikolat
